Baseline 100%T_S,,Baseline 100%T_P,,312_R6G-PdTPP_simple P 6.00 12.00,,312_R6G-PdTPP_simple P 10.00 20.00,,312_R6G-PdTPP_simple P 14.00 28.00,,312_R6G-PdTPP_simple P 18.00 36.00,,312_R6G-PdTPP_simple P 22.00 44.00,,312_R6G-PdTPP_simple P 26.00 52.00,,312_R6G-PdTPP_simple P 30.00 60.00,,312_R6G-PdTPP_simple P 34.00 68.00,,312_R6G-PdTPP_simple P 38.00 76.00,,312_R6G-PdTPP_simple P 42.00 84.00,,312_R6G-PdTPP_simple P 46.00 92.00,,312_R6G-PdTPP_simple P 50.00 100.00,,312_R6G-PdTPP_simple P 54.00 108.00,,312_R6G-PdTPP_simple P 58.00 116.00,,312_R6G-PdTPP_simple P 62.00 124.00,,312_R6G-PdTPP_simple P 66.00 132.00,,312_R6G-PdTPP_simple P 70.00 140.00,,312_R6G-PdTPP_simple P 74.00 148.00,,312_R6G-PdTPP_simple P 78.00 156.00,,312_R6G-PdTPP_simple P 82.00 164.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
899,25.3027401,899,140.9243774,899,96.10032654,899,96.10575867,899,96.11405945,899,96.0763092,899,96.08654785,899,96.0495224,899,96.02096558,899,96.00120544,899,95.94599915,899,95.84068298,899,95.72229004,899,95.55558014,899,95.35079956,899,95.07820129,899,94.77850342,899,94.40283966,899,93.91858673,899,93.37169647,899,92.70519257,899,88.09824371,
898,25.44078445,898,140.7122803,898,96.08744049,898,96.11676788,898,96.09624481,898,96.09662628,898,96.06362915,898,96.04924011,898,96.02474213,898,95.97910309,898,95.9332428,898,95.8463974,898,95.69798279,898,95.57341766,898,95.34030151,898,95.09875488,898,94.74118042,898,94.38785553,898,93.91272736,898,93.35395813,898,92.72393799,898,88.12935638,
897,25.63446426,897,140.5404968,897,96.06848145,897,96.07839966,897,96.07320404,897,96.07095337,897,96.02209473,897,96.03694916,897,95.99815369,897,95.9564743,897,95.90643311,897,95.8175354,897,95.70169067,897,95.52635956,897,95.31199646,897,95.0567627,897,94.73410034,897,94.35272217,897,93.89492035,897,93.32659149,897,92.67951965,897,88.11093903,
896,25.80406952,896,140.3081665,896,96.06410217,896,96.08821869,896,96.08197784,896,96.07520294,896,96.05522919,896,96.01165771,896,95.99573517,896,95.9708786,896,95.90798187,896,95.83381653,896,95.70256805,896,95.52688599,896,95.31036377,896,95.04381561,896,94.73825836,896,94.34753418,896,93.91790009,896,93.3575592,896,92.7008667,896,88.12718964,
895,25.98196793,895,140.1069336,895,96.05960846,895,96.07463837,895,96.07007599,895,96.05510712,895,96.03038788,895,96.02800751,895,95.99499512,895,95.95435333,895,95.88345337,895,95.8008194,895,95.69304657,895,95.51002502,895,95.29750061,895,95.04040527,895,94.73668671,895,94.33935547,895,93.89186096,895,93.34674835,895,92.6941452,895,88.12024689,
894,26.15174675,894,139.9446106,894,96.0174942,894,96.03562164,894,96.01700592,894,96.00808716,894,95.98839569,894,95.98351288,894,95.93834686,894,95.90762329,894,95.85708618,894,95.77062988,894,95.65309143,894,95.49355316,894,95.26868439,894,94.98978424,894,94.69873047,894,94.29787445,894,93.83841705,894,93.29406738,894,92.65782928,894,88.10400391,
893,26.30047226,893,139.6933899,893,96.03700256,893,96.04071045,893,96.05245209,893,96.03411102,893,96.00071716,893,95.97885132,893,95.96807861,893,95.93135834,893,95.87606049,893,95.7880249,893,95.66871643,893,95.48922729,893,95.26508331,893,95.01232147,893,94.69029999,893,94.31851196,893,93.86323547,893,93.30123901,893,92.70307159,893,88.11226654,
892,26.45454025,892,139.4691162,892,96.0160141,892,96.04557037,892,96.03643036,892,96.03909302,892,96.00439453,892,95.98447418,892,95.96392822,892,95.94426727,892,95.8707962,892,95.77143097,892,95.66706848,892,95.4925766,892,95.25128937,892,95.00439453,892,94.70275116,892,94.31407166,892,93.84922028,892,93.31620789,892,92.69650269,892,88.12963867,
891,26.65959549,891,139.2906799,891,96.01364899,891,96.0243988,891,96.00948334,891,96.01190948,891,95.98989868,891,95.93578339,891,95.92973328,891,95.89598846,891,95.84486389,891,95.74710083,891,95.63248444,891,95.46365356,891,95.2549057,891,94.98641968,891,94.67605591,891,94.28601837,891,93.8416748,891,93.29829407,891,92.65803528,891,88.12212372,
890,26.82367516,890,139.0858002,890,95.96032715,890,95.99044037,890,95.98575592,890,95.98525238,890,95.95051575,890,95.93469238,890,95.92549896,890,95.8639679,890,95.83056641,890,95.74668884,890,95.60739136,890,95.43972778,890,95.21572876,890,94.94328308,890,94.64362335,890,94.26881409,890,93.78193665,890,93.25761414,890,92.67687225,890,88.11725616,
889,27.01586533,889,138.8526764,889,95.96617889,889,95.98855591,889,95.99372864,889,95.98311615,889,95.9587326,889,95.9391861,889,95.92449951,889,95.85300446,889,95.82558441,889,95.73173523,889,95.59965515,889,95.44503021,889,95.2173233,889,94.93164063,889,94.65711975,889,94.26022339,889,93.81215668,889,93.26170349,889,92.66016388,889,88.11876678,
888,27.18003654,888,138.6298523,888,95.97415161,888,95.99526215,888,95.98361206,888,95.96769714,888,95.97480011,888,95.9457016,888,95.91780853,888,95.89013672,888,95.83172607,888,95.73213959,888,95.60956573,888,95.43077087,888,95.2252655,888,94.94737244,888,94.63638306,888,94.25570679,888,93.79055023,888,93.26061249,888,92.66760254,888,88.13148499,
887,27.35825157,887,138.4189606,887,95.95346832,887,95.96445465,887,95.96041107,887,95.95233917,887,95.95548248,887,95.89823151,887,95.90814209,887,95.83906555,887,95.7800293,887,95.70690155,887,95.58136749,887,95.40990448,887,95.1884079,887,94.93489075,887,94.61370087,887,94.2406311,887,93.80371857,887,93.23807526,887,92.63990784,887,88.11792755,
886,27.52459908,886,138.1693726,886,95.9543457,886,95.98334503,886,95.96902466,886,95.98675537,886,95.94436646,886,95.93730927,886,95.91586304,886,95.87591553,886,95.78035736,886,95.74234772,886,95.59303284,886,95.4564743,886,95.20244598,886,94.93112183,886,94.61990356,886,94.26058197,886,93.79051208,886,93.27938843,886,92.66316223,886,88.1314621,
885,27.70823288,885,137.9376221,885,95.94286346,885,95.95188141,885,95.95079803,885,95.94853973,885,95.95399475,885,95.91550446,885,95.9003067,885,95.86051178,885,95.8045578,885,95.71656036,885,95.63258362,885,95.42727661,885,95.17789459,885,94.914711,885,94.6114502,885,94.21766663,885,93.77861023,885,93.2567749,885,92.67163849,885,88.17607117,
884,27.8940239,884,137.7261353,884,95.91202545,884,95.94998169,884,95.94190979,884,95.94269562,884,95.92697906,884,95.87674713,884,95.8836441,884,95.85486603,884,95.78398132,884,95.69519806,884,95.57241821,884,95.38062286,884,95.18083954,884,94.90498352,884,94.59152222,884,94.21908569,884,93.76074982,884,93.23064423,884,92.63995361,884,88.13314819,
883,28.0890789,883,137.5214386,883,95.90699768,883,95.92063141,883,95.92750549,883,95.90343475,883,95.90265656,883,95.86186981,883,95.82502747,883,95.80114746,883,95.75699615,883,95.66152954,883,95.5404129,883,95.38917542,883,95.16138458,883,94.8640976,883,94.54373932,883,94.18806458,883,93.74728394,883,93.20088959,883,92.62435913,883,88.1207428,
882,28.25073814,882,137.2884216,882,95.88454437,882,95.93431091,882,95.91486359,882,95.88678741,882,95.89266205,882,95.85153961,882,95.85744476,882,95.79979706,882,95.74436188,882,95.66329956,882,95.53046417,882,95.35340881,882,95.13567352,882,94.87371063,882,94.55135345,882,94.16777039,882,93.72652435,882,93.19293976,882,92.62078094,882,88.10624695,
881,28.4301796,881,137.0648804,881,95.86839294,881,95.896492,881,95.89633942,881,95.88279724,881,95.9016037,881,95.85689545,881,95.84381104,881,95.78024292,881,95.70210266,881,95.64027405,881,95.50845337,881,95.35250092,881,95.09872437,881,94.86714172,881,94.52850342,881,94.16059875,881,93.73814392,881,93.1632309,881,92.62584686,881,88.09225464,
